user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,"The image 'img_1' clearly shows water droplets and pooling on the keyboard area, indicating water damage. The image is well-lit and of high quality, meeting the evidence standard.",none,water_damage,keyboard,supported,"img_1 shows clear signs of water damage on the keyboard area, consistent with the claim. The image is of high quality and meets the evidence standard, supporting the claim.",img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,"The second image (img_2) provides a clear view of the claimed part, showing the dent on the corner. The evidence standard is met despite the first image being very dark and details being hard to discern.",low_light_or_glare;user_history_risk;manual_review_required,dent,corner,supported,"The second image (img_2) clearly shows a dent on the corner of the laptop, supporting the claim. While the first image is very dark and details are hard to discern, the second image meets the evidence standard and provides sufficient visual confirmation.",img_2,true,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,"The submitted image 'img_1' clearly shows the laptop screen with a visible crack pattern, meeting the evidence standard for evaluating the claim.",user_history_risk;manual_review_required,crack,screen,supported,"img_1 shows a clear and extensive crack pattern on the laptop screen, consistent with the claim of screen damage. The image quality is satisfactory, and no image quality issues affected the assessment.",img_1,true,high
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,"The image (img_1) shows the trackpad area, but no clear physical damage or issue is visible that would indicate the trackpad has stopped working properly. The claim of the trackpad not working is not visually supported by the image.",damage_not_visible;possible_manipulation;user_history_risk;manual_review_required,none,trackpad,contradicted,"img_1 shows the trackpad area without any visible physical damage or issue. The claim that the trackpad has stopped working properly is not visually supported, and the image quality does not significantly affect the assessment. Given the user's limited history and prior claim needing manual review, there is a noted risk context but it does not change the verdict.",img_1,true,none
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,"The package corner is clearly visible in 'img_1', and the crushing is evident, meeting the evidence standard for assessing the claimed damage.",none,crushed_packaging,package_corner,supported,"img_1 shows the package corner with visible crushing and deformation, consistent with the claim of crushed packaging. The image quality is satisfactory and meets the evidence standard, supporting the claim.",img_1,true,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,true,"The first image clearly shows the torn seal, meeting the evidence standard for assessing torn packaging. Image quality issues, such as the non-original nature of the second image, did not affect the assessment.",non_original_image;user_history_risk;manual_review_required,torn_packaging,seal,supported,"img_1 shows a clear tear on the seal of the package, supporting the claim of torn packaging. While the second image is a stock photo and not original, the first image meets the evidence standard and confirms the claim.",img_1,false,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,true,"The package side with visible wet-looking stains and discoloration is clearly visible in 'img_1', and the staining is consistent with the claimed water damage.",user_history_risk;manual_review_required,water_damage,package_side,supported,"img_1 shows the package side with visible wet-looking stains and discoloration consistent with water damage. The image quality is sufficient to support the claim, and the evidence standard is met.",img_1,true,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,false,"The images do not provide sufficient visual evidence of the claimed missing part. The first image shows a box filled with crumpled paper, and the second image shows a sealed package, neither of which clearly indicates the presence or absence of the claimed missing part. Image quality issues, such as the first image being only of the interior contents and the second being blurry, further complicate the assessment.",cropped_or_obstructed;damage_not_visible;user_history_risk;manual_review_required,missing_part,unknown,not_enough_information,"The images do not clearly show the expected contents or enough of the opened package to verify whether anything is missing. The first image shows a box filled with crumpled paper, and the second image is blurry and does not clearly show the package exterior. Given the manual review history and the lack of clear visual evidence, the claim status remains 'not_enough_information'.",none,false,unknown
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,false,"The submitted images do not show the claimed object (box) or the claimed part (box). The image shows a can with a nutrition label, not a box. There is no visible evidence of a box or any crushed packaging.",wrong_object;wrong_object_part;user_history_risk;manual_review_required;claim_mismatch,none,box,contradicted,"The image validation agent confirmed that the image shows a can, not a box as claimed. There is no visual evidence of the claimed crushed packaging, and the image quality issues prevent a proper assessment. Given the user history context of several package severity exaggeration claims, this claim is assessed with caution.",none,false,none
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,true,"The images provided, particularly img_1, clearly show the seal area of the package with visible tearing and damage, consistent with the claim of torn packaging. Although the images are of non-original quality due to the presence of text instructions and a stock photo, the visual evidence of the damage is sufficient for assessment.",non_original_image;text_instruction_present;user_history_risk;manual_review_required,torn_packaging,seal,supported,"img_1 clearly shows the seal area of the package with visible tearing and damage, consistent with the claim of torn packaging. While the images are of non-original quality due to the presence of text instructions and a stock photo, the visual evidence of the damage is sufficient for assessment. The user history context, while noting past issues with image quality, does not change the current verdict.",img_1,false,medium
